id	date	sd1	curve	genus	species
Beta-276982	2520	30	shcal13	Dinornis	robustus
NZA-13750	2107	65	shcal13	Emeus	crassus
NZA-13751	1016	60	shcal13	Dinornis	robustus
NZA-22213	1209	30	shcal13	Dinornis	robustus
NZA-22214	1363	30	shcal13	Dinornis	robustus
NZA-27648	942	30	shcal13	Pachyornis	elephantopus
NZA-28039	1027	30	shcal13	Euryapteryx	curtus
NZA-29122	1492	35	shcal13	Emeus	crassus
NZA-29123	1559	35	shcal13	Emeus	crassus
NZA-29124	1614	35	shcal13	Emeus	crassus
NZA-29125	1324	35	shcal13	Dinornis	robustus
NZA-29126	2501	35	shcal13	Dinornis	robustus
NZA-29127	1492	35	shcal13	Euryapteryx	curtus
NZA-29139	1424	35	shcal13	Dinornis	robustus
NZA-29149	1243	35	shcal13	Pachyornis	elephantopus
NZA-29234	1055	35	shcal13	Pachyornis	elephantopus
NZA-29239	1588	35	shcal13	Emeus	crassus
NZA-29240	2828	35	shcal13	Euryapteryx	curtus
NZA-29241	1875	35	shcal13	Pachyornis	elephantopus
NZA-29908	4736	25	shcal13	Euryapteryx	curtus
NZA-30072	1863	20	shcal13	Dinornis	robustus
NZA-30073	1386	20	shcal13	Dinornis	robustus
NZA-30077	1181	20	shcal13	Dinornis	robustus
NZA-30078	1825	25	shcal13	Dinornis	robustus
NZA-30079	1323	20	shcal13	Dinornis	robustus
NZA-30080	3548	25	shcal13	Emeus	crassus
NZA-30081	3198	25	shcal13	Dinornis	robustus
NZA-30082	2216	25	shcal13	Dinornis	robustus
NZA-30083	1513	20	shcal13	Dinornis	robustus
NZA-30084	3153	25	shcal13	Dinornis	robustus
NZA-30085	1148	20	shcal13	Dinornis	robustus
NZA-30086	2352	25	shcal13	Dinornis	robustus
NZA-30092	1013	25	shcal13	Emeus	crassus
NZA-30093	742	25	shcal13	Dinornis	robustus
NZA-30094	1985	25	shcal13	Dinornis	robustus
NZA-30095	1060	25	shcal13	Dinornis	robustus
NZA-30096	3148	25	shcal13	Dinornis	robustus
NZA-30097	1714	25	shcal13	Dinornis	robustus
NZA-30098	3269	25	shcal13	Dinornis	robustus
